Time         PitchSensor   RollSensor  AzimuthSensor   PitchKalman   RollKalman  AzimuthKalman   PitchIIR  RollIIR  AzimuthIIR   PitchCFR  RollCF  AzimuthCF PitchCFR2  RollCF2  AzimuthCF2
   2.5    88.4003879248   -38.4659362288    29.9881088574     88.3627914257   -38.2454735651    30.2899945284     88.4051029821   -38.4046797386    30.0589294536     88.4292311850   -38.2874424076    30.1495659060     88.4209086481   -38.2289204683    30.2239771805
   2.5    85.2240814303   -58.2508515025    11.4162841561     86.6780998604   -48.0065151576    22.4472077764     85.4882660909   -57.6950097943    11.8574500584     88.2792671636   -39.2876980677    30.0711445234     86.6675267652   -49.2419848557    21.0165538914
   2.6    87.2968622304   -77.0716093596   349.2595107259     86.9625816436   -62.2446131992     6.2652517180     87.8568562241   -80.3192512624   345.9185336388     88.2268542044   -41.1735709679    28.7155988519     87.0138322876   -64.5543616736     3.5666078561
   2.6    88.0176197540   -37.8754169234    31.8558801829     87.4743742421   -50.5134906684    18.6412013662     88.3021011565   -33.9178690446    35.7191697188     88.2186509135   -41.0239046370    28.2184014232     87.5601185411   -49.8804334372    19.2678933818
   2.7    88.7601217219    33.9542706978   103.4887012204     88.2301635369    -9.2681815478    61.2543168652     88.8014728085    27.9323591605    97.4754453273     88.4246244462   -36.9647826116    31.6272063207     88.3262727872    -3.6387220979    66.8470739484
   2.7    84.0871120247    13.7595602740    91.9603761063     85.0733155792     3.1310802843    78.6162047735     84.4542494744    13.9945059001    91.4860739091     87.3754005251   -31.8864875463    34.1671800426     85.0057539174     6.7208283273    82.5432504216
   2.7    82.8092375999     5.1990905715    61.1131300312     81.4871129008     5.3006911522    66.8269866715     82.9528418088     5.7802971454    63.4215770155     84.1435821653   -25.9080652102    21.6228004668     81.4863361009     6.5590236179    68.2885853535
   2.8    71.8233113755     8.6677321400    72.3956750063     73.9749843942     8.0073192415    67.2663920351     72.7605946912     8.5665542492    71.6249482695     80.0719437570   -20.3980500512    12.2038002857     73.8677478290     8.4016507400    68.0912583149
   2.8    61.8554293254    11.8600622255    71.8420538959     65.1877085774    10.5360018822    63.5896116481     62.6895737276    11.6967979539    72.0626318531     75.0440755221   -16.0371469406     3.5402231790     65.0051620665    10.6526334694    64.2382877113
   2.9    59.4345295644    13.3911994147    54.0579478484     59.7314676045    12.2284256893    53.5377942428     59.7091046137    13.2614998836    55.1722133226     70.0171242147   -12.4144557577     1.3350045254     59.6721213254    12.1970638258    53.6001782428
   2.9    38.5584123438    14.5830451213    90.9963981469     46.6154907295    10.7650574968    71.4668420330     40.2744454563    14.5105580730    88.6256852488     63.2915556930   -14.2973275947     5.3171426136     46.2649796842    10.9847396630    72.4787552969
   2.9    41.6990360361    -5.8740053085    38.4333970845     41.7177651015     2.3874502117    57.9976069580     41.7182099920    -4.4102518523    43.4486634650     57.4291254425   -13.4855158053     6.2527080296     41.6564708577     1.2157648583    56.0103621220
   3.0    34.9869852233     5.0052220748    68.3785893060     36.1204915229     2.6264520646    63.2845470283     35.5953493366     4.2595751002    66.8146068190     51.8581264190   -14.2372661957     8.2145385858     36.1186628834     2.1927915936    62.6236208610
   3.0    26.0464154356    -2.2205226463    72.3842909987     28.6140452289    -0.1536232965    68.6497305019     26.8337676894    -1.7385428214    71.6348846702     46.1570408064   -14.1094566046    10.1861915294     28.6022831864    -0.8313142067    67.6976601634
   3.1    26.3847115831    -4.1545160285    56.7352481945     24.9708871121    -3.2241345974    62.7083809259     26.4265092435    -3.9393197997    57.8306511357     40.2068776629   -15.3592003568    12.1414964164     25.1477901929    -3.8641048780    61.1800608383
   3.1    19.2184477483    -2.5136779159    66.3139831890     19.7929943255    -3.1781972927    64.9835451833     19.7461070140    -2.6131575818    65.8675990910     35.0730510983   -15.2136704925    15.7841007876     19.9649273079    -3.6092806203    63.9528958755
   3.1    14.5075377390    -6.1607372158    62.9136537657     14.8333009624    -4.9135037840    64.8196380092     14.9599723760    -5.8633704665    63.1196736887     29.8072820847   -15.4556594741    17.8925503841     15.0172659726    -5.4957886525    63.5233198912
   3.2     6.9498760449    -3.7866955622    76.7476117149      9.0094233852    -4.6299911858    71.5126806424      7.5845712521    -3.9474743599    75.7966264271     25.4877670786   -15.7209588707    19.8534931759      9.1251543284    -5.0241958315    70.8086222311
   3.2    12.4195452824    -8.6910460227    50.9185633591      8.9549128120    -6.8025735793    61.9969437037     12.0594440203    -8.3300346293    52.7223380750     21.4238569378   -15.9213030422    22.5855994766      9.3026891691    -7.4540775823    60.2446796005
   3.3     5.6888666457    -7.7588997245    63.9232776301      6.3800187532    -7.5189734274    62.9570824936      6.2220561837    -7.8060170100    62.9549570501     19.1161828935   -16.4472591824    23.5000434221      6.6227667273    -8.0766377411    61.6263606089
   3.3    -0.1601433512    -9.2539529753    71.8507346569      1.7099948060    -8.6773170119    67.9367384702      0.3610060756    -9.1361832232    71.0667387657     15.9446710986   -17.0830727020    25.3590371819      1.8600312246    -9.2335373895    66.9305943671
   3.3     2.8462688745    -9.2130776342    62.7096507004      1.8226255161    -9.1402638560    65.3313851212      2.6428706194    -9.2067759185    63.3181298181     14.5399808585   -17.6080799718    26.6324877685      2.0725085767    -9.6355276717    64.1507118665
   3.4     2.5259187061    -9.8488759967    62.7148936289      2.1003030101    -9.2986923259    64.3843092094      2.5354005054    -9.7968883269    62.7642703483     14.0081422652   -17.3948231985    28.0583031639      2.3631531884    -9.8237048247    63.1362503492
   3.4     0.5611671846   -11.0669364928    67.1028257577      1.4919027383    -9.9565935448    65.8897681319      0.7263623199   -10.9607545238    66.7059682558     13.9909316385   -17.2466173313    28.9860436800      1.6975689185   -10.5595489304    64.6652857452
   3.5     3.0792767215    -9.4796168843    69.9455998518      3.8199159396    -9.4910032062    67.4117788110      2.8949945203    -9.5958261161    69.6820535777     16.6490145651   -17.1037181734    28.5879848645      4.0138170317    -9.9875000845    66.3477388435
   3.5    13.3223963090    -8.5981043402    57.7496922348     11.0191180056    -8.7435591379    61.6141214665     12.5186889188    -8.6772209551    58.5068837215     21.0952306538   -16.7930690776    28.5439063011     11.3482249455    -9.1747826127    60.2845538889
   3.5    10.2960111865   -13.6237759272    74.3874733929     12.9619719610   -11.2030463237    67.4984659962     10.4900546426   -13.2019226929    72.5283376520     25.5437732249   -17.3611613673    29.0229051721     13.1192030789   -11.9112836722    66.0557030327
   3.6    18.0614551803   -13.5352701491    76.1545792562     17.9879667698   -12.6863312776    75.0564057756     17.4560156439   -13.5077140898    75.8657894165     30.1971426678   -18.2817782737    33.8195911368     18.2099538577   -13.3170250918    73.6258788601
   3.6    22.0777581810   -20.5784830160    64.2367924096     21.3595722292   -17.1628480956    72.3124051829     21.7261936201   -20.0092439590    65.4561268561     32.1129061239   -20.8796553510    32.5996292706     21.6146826728   -18.0665262256    69.8217020550
   3.7    30.3641980715   -21.2765062577    42.1282880749     26.8746189174   -21.3797361795    48.1579834841     29.6942970656   -21.1709441522    43.0536253532     33.4809960954   -26.1054829096    26.0736454138     27.2444792805   -21.9599589203    46.0668460168
   3.7    40.2027125071   -16.7415072796    41.4625730956     36.0583017478   -18.9513072263    42.6090349577     39.2954390330   -17.1763505518    41.4661647328     38.2189530820   -26.0968136253    25.1791331168     36.5179037805   -19.1314532175    41.6194934631
   3.7    34.7958898825   -21.8183833748    56.1460154840     37.9245361032   -19.7868517468    51.0767009325     35.1241443201   -21.5034023058    54.1344544239     43.3863010189   -25.6129095273    29.0764429760     38.0830352825   -20.2952153686    49.7310293940
   3.8    41.1669480321   -24.4196605122    40.9467388353     42.0183462443   -20.8315575704    47.3171691438     40.5922917992   -24.1187394089    42.5779125950     48.2610905565   -24.1693096126    28.5391292692     42.1626658608   -21.6738580610    45.0269786431
   3.8    40.9172652556   -27.3082115143    51.6873275777     43.5785755084   -23.6390938274    50.1947603246     40.8938599261   -27.0447399025    50.3710654416     52.3750385964   -24.4185601773    28.0435986163     43.6347120173   -24.6255153760    47.0939805137
   3.9    66.0687562714   -24.9494244660    23.5296890662     57.3420987961   -24.8700364149    32.7936359034     64.4034681647   -25.2000688297    23.7640994421     57.0624842058   -26.2057315159    30.2566229976     57.8646426009   -25.4645675793    30.6928777467
   3.9    57.1715018160   -26.9296044261    33.1722399828     58.2231833242   -25.7030187238    33.6721371138     57.7887702324   -26.8098063757    31.8537576888     59.1745752655   -26.1893733345    30.8990493762     58.4846620809   -26.2418996498    31.9508614079
   3.9    60.2228908104   -37.5007163369     5.7880663815     60.7441084555   -31.7539059640    20.5718836561     60.0240772459   -36.3851968900     8.7234294800     62.3430264797   -27.5549763131    28.2242170217     60.9161177460   -32.8069580543    17.6616352417
   4.0    70.2845309822   -29.9680149266    21.0312959786     66.9749522738   -31.6445270957    20.5120770188     69.5917174186   -30.6003204642    20.0902203734     65.4606539760   -29.1083462817    27.1757364778     67.2669812608   -32.0060739558    19.5487817932
   4.0    64.9583900017   -41.1202238313     2.0270850422     66.3207969162   -36.0063715076    13.3362975569     65.3193320483   -40.4785464516     3.5097331895     66.3830251074   -29.3546266164    27.3995819379     66.4590169889   -36.8636287682    11.3442268512
   4.1    69.9567587672   -36.8283838505     9.1670129707     68.4504571665   -36.3678795114    10.8553664170     69.5436849160   -37.2204471547     8.6318892003     67.1490190268   -29.6921523523    25.6316573437     68.6533930979   -36.8603154897     9.7545760300
   4.1    73.0806749715   -36.7366587499    11.1969374572     72.7481474278   -36.8778901081    10.8399268680     72.7893225750   -36.7837672155    10.9853427556     71.3775493289   -30.3201112665    23.8452200552     72.9156603646   -37.1411941075    10.2855751262
   4.1    72.8767887669   -30.2874577444    20.4660270495     74.0171887731   -32.5360600676    15.4550525327     72.8774467641   -30.8061582346    19.6721803671     73.7644105240   -28.0666220454    23.5609450647     74.1100817696   -32.4310615294    15.5649761498
   4.2    74.5644600685   -32.9645408659     1.0116809239     76.0335327637   -30.8480277152     6.1040658261     74.4302203799   -32.7749882331     2.8393609043     77.1606279787   -24.6423713194    16.2724446293     76.0784447316   -31.1059511426     5.6130961331
   4.2    82.5567737202   -62.9076826635   318.9471303648     79.9251750307   -46.5516355701   337.6150298558     82.0444936055   -58.3960662226   324.1895766864     78.5557009603   -26.6573353094     8.8654247814     80.1384515937   -48.6808143851   334.7365418050
   4.3    83.1652721579    -1.8854846380    51.2872921648     83.1576153597   -26.7493008564    17.4826582135     83.3401726609    -6.5491180291    43.8810943887     83.0181198598   -27.7452296967    16.2396021507     83.2543325332   -24.7083142210    20.1779637361
   4.3    84.1660350848    -7.8709520897    42.1901666946     84.2480898864   -17.6015933391    29.5505869609     84.1024704213    -7.7559015394    42.3293122954     84.3099086620   -27.0777212889    17.0693036731     84.3589939291   -15.5781850453    31.9544403707
   4.4    86.9000402922    76.3086587672   119.3725521302     85.5919236596    28.5119758070    75.9801401821     87.1683099936    86.3754729350   128.4991916262     84.3920450833   -21.7345316835    19.6719911377     85.7573834428    35.0380755219    82.3007768893
   4.4    81.6184779468    59.3981160281   111.3828317709     83.1880750589    44.8077095678    94.5837461238     82.4476658486    58.6500331192   109.2232428005     84.7260019505   -16.2179903482    20.8097671962     83.1468343307    49.0333608954    98.7347035747
   4.4    78.8525485230   -84.4118789640   256.2789717767     79.2559641676   -15.7450400426     2.3261031196     79.2487415538   -86.3340183217   257.4780160728     85.9521256684   -14.9755593435     2.2488071642     79.1074514237   -22.7627925093   345.9501272013
   4.5    81.8265665650    84.7832341601    98.6568786312     81.0882824081    36.1963071736    48.0073853182     81.6094885225    85.7796186388   102.4445628683     86.7572598135    -5.0954402628   342.7557343005     81.3819406437    38.7151847005    50.6354302140
   4.5    71.6816069471    85.4175201896   108.7215804878     74.9437643234    63.2178340797    78.3123350061     72.4669580481    85.4314634141   108.1816264630     87.0973141686     4.3510796101   328.5594198456     74.8586789033    66.5732523301    82.7269168239
   4.6    61.5131063861   -78.4530901545   204.9739407391     65.9708273994    -3.0771466077   244.3110996054     62.4026297745   -79.2562783915   205.3242945491     86.7739364640     5.3199004560   309.0246337147     65.6641702594   -11.2974135437   239.9458863125
   4.6    56.2767713681   -80.5482749094   197.1754852536     61.9577017188   -37.5352151996   222.4082642187     56.8097407398   -80.4530585858   197.7178618159     87.0185435893     6.2968771932   294.3464317655     61.9852811700   -46.6539171322   217.5405566136
   4.6    47.6083194791   -75.3577206656   193.8336316867     56.3245502128   -53.7012324067   208.0203779591     48.3520557550   -75.6948389422   194.0699215477     86.2378956238     7.4546963961   281.6154271909     56.3086809222   -60.5296663140   203.9510986754
   4.7    39.4276813693   -69.6788080858   192.2280904356     49.4155154379   -59.6043138582   199.4667758603     40.1785609024   -70.1139912583   192.3210992873     84.4690489737     8.8541204950   271.1549165336     49.3027749855   -63.8002799383   196.6687444476
   4.7    32.3615707382   -64.0229653115   195.6541953927     41.2682497032   -59.6925686759   198.4372395633     33.0335754248   -64.4933855711   195.3407929959     79.8555647599     8.9522648347   264.6061333271     41.2497553646   -61.7982679560   196.9392027755
   4.8    30.8409256974   -59.5905597059   198.4278507540     35.9477731165   -58.7012555934   198.7441109358     31.0062119584   -59.9384199234   198.2021233598     76.6053996660     7.5143922134   259.5030429857     36.1220074226   -59.3730190973   198.2379300289
   4.8    29.6122627965   -60.3200476406   197.0419080684     32.9244886407   -58.9199418114   197.8987186579     29.7266537564   -60.2891456148   197.1369263092     74.2122757836     6.2210302797   255.3765218092     33.2835719566   -58.9942560492   197.8092246861
   4.8    29.0151447137   -59.8327748534   196.2746764883     31.0471518736   -58.4940192786   197.2556322498     29.0750555414   -59.8709198925   196.3435573989     71.5792921388     5.1206138801   251.4474231659     31.5668348802   -58.2793866202   197.3745358579
   4.9    26.0176827150   -55.0021929962   199.6457961517     28.2192392454   -56.3194332677   198.3016489649     26.2675204425   -55.3806197905   199.3795241124     69.0589315331     3.4443908827   247.5082296260     28.8179123144   -55.6459075692   198.7833190104
   4.9    26.6479748339   -56.3574265546   198.6157787413     26.9384928611   -56.8434637424   198.1472185043     26.6164738539   -56.2756470035   198.6805722669     66.8221184670     0.5630591765   244.1218687823     27.6721369060   -56.0690002877   198.6983006861
   5.0    27.1191974948   -55.0645517544   200.0597795868     26.4715225050   -56.7125606172   198.7322754531     27.0799069414   -55.1605045997   199.9506682529     64.9092231149    -2.5873065525   241.0902761943     27.3107514590   -55.7579171760   199.4128585817
   5.0    26.3605324626   -57.3860123858   198.5341733497     25.8130300323   -57.9563159825   198.1032662256     26.4188963918   -57.2103828790   198.6446912389     63.2397759003    -6.0379857012   237.9178102679     26.6930950810   -57.0625314924   198.7282919290
   5.0    26.9476916597   -58.2427627539   198.9747700661     25.7565712273   -59.3688806486   198.1018847329     26.9045029808   -58.1575300166   198.9488391715     61.3755200007    -9.7169317661   235.4300691735     26.6762670015   -58.4358027479   198.7502062427
   5.1    27.5243402380   -64.2605001783   197.6635607327     24.3973045455   -63.9967090326   197.9661354112     27.4824732873   -63.7449953902   197.7653650851     56.6221917404   -16.3691679630   231.6269526188     25.4007237794   -63.2164505076   198.4540174632
   5.1    34.1712111745   -74.0112105033   198.9096503257     26.0249970203   -71.1928535057   200.8244473405     33.6802762032   -73.1566750144   198.7671481049     49.6816040943   -24.5200945913   230.4403457411     27.2506424877   -70.7803343156   200.9809353761
   5.2    44.9899209674   -80.5628451196   212.1262269131     32.7482082209   -77.8499836091   211.6440321791     44.2266369312   -79.9665211839   210.9062286198     43.2409740512   -32.1734781495   235.1171467650     34.1895381956   -77.5510344127   211.8158309452
   5.2    47.6744785203    71.5838844508    91.4615451404     40.7634782484    -6.4376507508   251.0000123633     47.6651863619    74.1579870419    93.0901116712     41.4219090501   -28.3459606147   244.6044654881     41.9764069646     3.5632887464   255.8478945567
   5.2    53.1353042765    60.9325420442    63.8415866894     45.9664372327    27.1559667067   307.3387329541     52.7222522913    62.2076958994    66.7632445536     40.2075596437   -22.2141424201   249.6897693316     46.9723895168    35.5285653391   358.7281808769
