MkMagnettoSettings {rangeAcc = RA2, rangeGyro = RG125, cycleMag = CM200, frequencyAccAndGyro = FAG25, frequencyMag = FM600}
MkPortName {portName = "/dev/ttyUSB0"}
System Coordinate = Base (how as PNI)

Time         TimeStep MagX   MagY    MagZ   AccX   AccY   AccZ  GyroX  GyroY  GyroZ     Temp       Pitch   Roll  Azimuth
   1.1     0.0400500000    6.5200000000  -10.6400000000   37.4130000000    0.0302730000   -0.0311270000    1.0026850000    0.1520000000    0.0610000000    0.0760000000      30.1         -1.7285129107   -1.7780989572   60.4131516478 
   1.1     0.0400500000    6.4800000000  -10.6530000000   37.2930000000    0.0299070000   -0.0327140000    1.0031730000    0.1830000000    0.0380000000    0.0760000000      29.9         -1.7067124976   -1.8677836449   60.4062833372 
   1.2     0.0400500000    6.5330000000  -10.6000000000   37.4400000000    0.0312500000   -0.0313720000    1.0028070000    0.1670000000    0.0450000000    0.0830000000      29.9         -1.7840314002   -1.7918673682   60.3960659656 
   1.2     0.0400490000    6.5060000000  -10.6400000000   37.4530000000    0.0297850000   -0.0307610000    1.0031730000    0.1670000000    0.0450000000    0.1060000000      29.9         -1.6998589046   -1.7563504883   60.4293734952 
   1.2     0.0400500000    6.5060000000  -10.6400000000   37.3200000000    0.0302730000   -0.0321040000    1.0028070000    0.1830000000    0.0450000000    0.0760000000      29.9         -1.7282499520   -1.8336486285   60.3774256481 
   1.3     0.0400500000    6.4530000000  -10.6800000000   37.2130000000    0.0308830000   -0.0311270000    1.0030510000    0.1600000000    0.0450000000    0.0990000000      29.9         -1.7626782327   -1.7774505688   60.9158851659 
   1.3     0.0400500000    6.5200000000  -10.6000000000   37.4530000000    0.0291740000   -0.0311270000    1.0034170000    0.1600000000    0.0300000000    0.0910000000      30.1         -1.6645854075   -1.7768026529   60.1196527411 
   1.4     0.0400500000    6.5200000000  -10.6260000000   37.4130000000    0.0305170000   -0.0312500000    1.0028070000    0.1600000000    0.0450000000    0.0760000000      30.1         -1.7422178660   -1.7849036383   60.4067316070 
   1.4     0.0400500000    6.4930000000  -10.6400000000   37.2530000000    0.0302730000   -0.0314940000    1.0030510000    0.1670000000    0.0530000000    0.0610000000      29.9         -1.7278634851   -1.7983937528   60.4914896916 
   1.4     0.0400500000    6.5460000000  -10.5860000000   37.3460000000    0.0305170000   -0.0312500000    1.0034170000    0.1670000000    0.0450000000    0.0680000000      29.8         -1.7411604102   -1.7838192560   60.1778074405 
   1.5     0.0400490000    6.5330000000  -10.6260000000   37.4660000000    0.0300290000   -0.0312500000    1.0028070000    0.1520000000    0.0450000000    0.0760000000      29.8         -1.7143746692   -1.7849036383   60.2659373293 
   1.5     0.0400500000    6.4930000000  -10.6400000000   37.3060000000    0.0302730000   -0.0316160000    1.0032950000    0.1670000000    0.0610000000    0.0910000000      29.9         -1.7274373431   -1.8049169164   60.4822379467 
   1.6     0.0400490000    6.4530000000  -10.6660000000   37.2260000000    0.0300290000   -0.0316160000    1.0031730000    0.1750000000    0.0610000000    0.0530000000      30.1         -1.7137306116   -1.8051362746   60.6867449944 
   1.6     0.0400500000    6.5330000000  -10.6130000000   37.3860000000    0.0303950000   -0.0317380000    1.0034170000    0.1670000000    0.0450000000    0.0760000000      29.9         -1.7341774779   -1.8116569571   60.2419595206 
   1.6     0.0400500000    6.5200000000  -10.6260000000   37.4130000000    0.0295410000   -0.0318600000    1.0034170000    0.1670000000    0.0220000000    0.0760000000      29.9         -1.6854747946   -1.8186162492   60.1777094489 
   1.7     0.0400500000    6.4800000000  -10.6660000000   37.2660000000    0.0297850000   -0.0321040000    1.0030510000    0.1670000000    0.0610000000    0.0760000000      29.9         -1.6999941240   -1.8332028835   60.4766801787 
   1.7     0.0400500000    6.6000000000  -10.5730000000   37.3200000000    0.0305170000   -0.0306390000    1.0032950000    0.1290000000    0.0300000000    0.0610000000      30.1         -1.7414044562   -1.7491764398   59.9554169567 
   1.8     0.0400500000    6.5330000000  -10.6130000000   37.4400000000    0.0303950000   -0.0312500000    1.0030510000    0.0990000000    0.0300000000    0.0990000000      29.9         -1.7348356956   -1.7844697273   60.2932070480 
   1.8     0.0400500000    6.5060000000  -10.6530000000   37.3330000000    0.0305170000   -0.0310050000    1.0030510000    0.0760000000   -0.0070000000    0.0530000000      30.1         -1.7418079116   -1.7704884239   60.5592056388 
   1.8     0.0400490000    6.5060000000  -10.6800000000   37.2130000000    0.0300290000   -0.0316160000    1.0031730000    0.0610000000   -0.0150000000    0.0760000000      30.1         -1.7137306116   -1.8051362746   60.4796578898 
   1.9     0.0400500000    6.5600000000  -10.6000000000   37.3330000000    0.0303950000   -0.0317380000    1.0028070000    0.0610000000   -0.0300000000    0.0910000000      29.8         -1.7352306657   -1.8127582394   60.0826457304 
   1.9     0.0400500000    6.5200000000  -10.6400000000   37.4130000000    0.0303950000   -0.0319820000    1.0023190000    0.0910000000    0.0070000000    0.0990000000      30.1         -1.7360607250   -1.8275739764   60.3523503567 
   2.0     0.0400500000    6.5060000000  -10.6530000000   37.2800000000    0.0302730000   -0.0317380000    1.0031730000    0.1060000000    0.0220000000    0.0610000000      30.0         -1.7276404644   -1.8120973094   60.4435667133 
   2.0     0.0400500000    6.5860000000  -10.6000000000   37.2400000000    0.0306390000   -0.0310050000    1.0026850000    0.1450000000    0.0380000000    0.0680000000      29.8         -1.7494042757   -1.7711342759   60.0722338983 
   2.0     0.0400500000    6.5330000000  -10.6130000000   37.3730000000    0.0301510000   -0.0314940000    1.0018310000    0.1980000000    0.0530000000    0.0760000000      29.9         -1.7229967389   -1.8005823425   60.2262248760 
   2.1     0.0400500000    6.5060000000  -10.6530000000   37.3460000000    0.0306390000   -0.0314940000    1.0032950000    0.1830000000    0.0910000000    0.0760000000      29.9         -1.7483158197   -1.7979566730   60.5336000966 
   2.1     0.0400490000    6.5060000000  -10.6660000000   37.1730000000    0.0306390000   -0.0319820000    1.0030510000    0.1600000000    0.0380000000    0.0910000000      29.9         -1.7487135523   -1.8262411648   60.5111120867 
   2.2     0.0400500000    6.5860000000  -10.5860000000   37.2660000000    0.0292960000   -0.0316160000    1.0036620000    0.1520000000    0.0220000000    0.0830000000      30.1         -1.6711096189   -1.8042573651   59.7454243412 
   2.2     0.0400490000    6.5600000000  -10.6130000000   37.3600000000    0.0311270000   -0.0317380000    1.0030510000    0.1520000000    0.0380000000    0.0530000000      29.9         -1.7765620304   -1.8123175659   60.2440571985 
   2.2     0.0400500000    6.5460000000  -10.6530000000   37.2660000000    0.0305170000   -0.0319820000    1.0026850000    0.1600000000    0.0450000000    0.0990000000      30.1         -1.7423894669   -1.8269073276   60.2794556677 
   2.3     0.0400600000    6.6260000000  -10.5860000000   37.1860000000    0.0305170000   -0.0318600000    1.0028070000    0.1750000000    0.0380000000    0.0680000000      29.9         -1.7421845721   -1.8197217563   59.7457480513 
   2.3     0.0400400000    6.5860000000  -10.6000000000   37.3060000000    0.0308830000   -0.0316160000    1.0030510000    0.1370000000    0.0530000000    0.0680000000      30.1         -1.7626513997   -1.8053556860   60.0576978521 
   2.4     0.0400500000    6.5200000000  -10.6130000000   37.3330000000    0.0307610000   -0.0329580000    1.0034170000    0.1600000000    0.0380000000    0.0610000000      30.0         -1.7549778391   -1.8812474378   60.2432665402 
   2.4     0.0400500000    6.5330000000  -10.6660000000   37.2000000000    0.0300290000   -0.0312500000    1.0028070000    0.1450000000    0.0300000000    0.0760000000      30.1         -1.7143746692   -1.7849036383   60.3553628835 
   2.4     0.0400500000    6.6260000000  -10.6000000000   37.2000000000    0.0316160000   -0.0319820000    1.0025630000    0.1600000000    0.0450000000    0.0910000000      29.9         -1.8053161394   -1.8271294898   59.9602112390 
   2.5     0.0400490000    6.5600000000  -10.6400000000   37.3600000000    0.0300290000   -0.0317380000    1.0029290000    0.1670000000    0.0530000000    0.0680000000      30.1         -1.7141403030   -1.8125378759   60.1259969008 
   2.5     0.0400500000    6.5600000000  -10.6530000000   37.3060000000    0.0302730000   -0.0324700000    1.0029290000    0.1520000000    0.0680000000    0.0760000000      29.9         -1.7280197960   -1.8543130944   60.1280465138 
   2.6     0.0400490000    6.5330000000  -10.6930000000   37.1730000000    0.0296630000   -0.0323480000    1.0028070000    0.1600000000    0.0220000000    0.0680000000      29.9         -1.6934330354   -1.8475752839   60.2562861264 
   2.6     0.0400500000    6.6000000000  -10.6400000000   37.3060000000    0.0300290000   -0.0317380000    1.0023190000    0.1830000000    0.0530000000    0.0380000000      29.9         -1.7151818425   -1.8136402294   59.9425167676 
   2.6     0.0400500000    6.5730000000  -10.6660000000   37.3730000000    0.0307610000   -0.0311270000    1.0032950000    0.1670000000    0.0530000000    0.0760000000      29.8         -1.7552930160   -1.7770185724   60.3193042509 
   2.7     0.0400500000    6.5330000000  -10.6800000000   37.2530000000    0.0302730000   -0.0321040000    1.0029290000    0.1520000000    0.0610000000    0.0610000000      30.1         -1.7280400638   -1.8334257289   60.3542647606 
   2.7     0.0400500000    6.6400000000  -10.6530000000   37.2260000000    0.0299070000   -0.0318600000    1.0034170000    0.1750000000    0.0680000000    0.0680000000      29.9         -1.7063448165   -1.8186162492   59.7566927442 
   2.8     0.0400490000    6.6000000000  -10.6660000000   37.3730000000    0.0307610000   -0.0303950000    1.0025630000    0.1900000000    0.0150000000    0.0680000000      30.1         -1.7566118599   -1.7365212469   60.2687607001 
   2.8     0.0400500000    6.5460000000  -10.6530000000   37.3860000000    0.0300290000   -0.0325920000    1.0032950000    0.1670000000    0.0530000000    0.0610000000      30.2         -1.7134693025   -1.8605969281   60.1415243737 
   2.8     0.0400500000    6.5600000000  -10.7060000000   37.2530000000    0.0301510000   -0.0313720000    1.0028070000    0.1520000000    0.0760000000    0.0680000000      30.1         -1.7213290165   -1.7918673682   60.3484012216 
   2.9     0.0400500000    6.6260000000  -10.6260000000   37.3460000000    0.0301510000   -0.0318600000    1.0028070000    0.1830000000    0.0150000000    0.0760000000      29.9         -1.7213026495   -1.8197217563   59.7977155329 
   2.9     0.0400500000    6.5860000000  -10.6260000000   37.4800000000    0.0303950000   -0.0317380000    1.0026850000    0.1450000000    0.0680000000    0.0760000000      29.9         -1.7354414567   -1.8129786565   60.0407870675 
   3.0     0.0400500000    6.5600000000  -10.6800000000   37.3860000000    0.0302730000   -0.0318600000    1.0029290000    0.1900000000    0.0680000000    0.0760000000      29.9         -1.7280534484   -1.8195005474   60.2619986425 
   3.0     0.0400500000    6.6530000000  -10.6260000000   37.3330000000    0.0299070000   -0.0325920000    1.0032950000    0.1750000000    0.0150000000    0.0830000000      30.0         -1.7065120480   -1.8605969281   59.5602053756 
   3.0     0.0400490000    6.6130000000  -10.6260000000   37.5060000000    0.0300290000   -0.0316160000    1.0028070000    0.1600000000    0.0610000000    0.0680000000      30.1         -1.7143550875   -1.8057946690   59.8681107352 
   3.1     0.0400500000    6.5730000000  -10.6260000000   37.5460000000    0.0302730000   -0.0324700000    1.0024410000    0.1750000000    0.0380000000    0.0610000000      30.1         -1.7288596250   -1.8552151651   60.0112443222 
   3.1     0.0400500000    6.5330000000  -10.6660000000   37.4660000000    0.0308830000   -0.0323480000    1.0032950000    0.1600000000    0.0610000000    0.0910000000      30.1         -1.7621825040   -1.8466772506   60.4105291883 
   3.2     0.0400500000    6.6400000000  -10.5860000000   37.5460000000    0.0301510000   -0.0318600000    1.0026850000    0.1900000000    0.0220000000    0.0760000000      29.9         -1.7215117490   -1.8199430189   59.6386989495 
   3.2     0.0400500000    6.5600000000  -10.6130000000   37.7330000000    0.0306390000   -0.0317380000    1.0021970000    0.1670000000    0.0760000000    0.0760000000      30.1         -1.7502147632   -1.8138608610   60.1828728663 
   3.2     0.0400500000    6.5730000000  -10.6400000000   37.6660000000    0.0306390000   -0.0319820000    1.0030510000    0.1600000000    0.0610000000    0.0680000000      30.1         -1.7487135523   -1.8262411648   60.1647114404 
   3.3     0.0400500000    6.6660000000  -10.5860000000   37.6000000000    0.0296630000   -0.0317380000    1.0026850000    0.1750000000    0.0450000000    0.0680000000      30.1         -1.6936716217   -1.8129786565   59.4518319570 
   3.3     0.0400490000    6.6260000000  -10.5730000000   37.7060000000    0.0306390000   -0.0314940000    1.0026850000    0.1520000000    0.0530000000    0.0830000000      30.2         -1.7493777286   -1.7990497711   59.7971316964 
   3.4     0.0400500000    6.5460000000  -10.6000000000   37.8000000000    0.0306390000   -0.0314940000    1.0026850000    0.1900000000    0.0380000000    0.0830000000      30.1         -1.7493777286   -1.7990497711   60.2396466463 
   3.4     0.0400490000    6.5460000000  -10.6400000000   37.6800000000    0.0305170000   -0.0312500000    1.0020750000    0.2210000000    0.0530000000    0.0530000000      29.9         -1.7434885082   -1.7862066379   60.3414046226 
   3.4     0.0400500000    6.6530000000  -10.5730000000   37.6400000000    0.0303950000   -0.0312500000    1.0041500000    0.2590000000    0.1370000000    0.0610000000      29.9         -1.7329399862   -1.7825179608   59.6495955046 
   3.5     0.0400500000    6.5860000000  -10.5730000000   37.7600000000    0.0303950000   -0.0313720000    1.0030510000    0.1520000000    0.0150000000    0.1060000000      29.9         -1.7348291194   -1.7914317665   59.9516314710 
   3.5     0.0400500000    6.5600000000  -10.6130000000   37.7860000000    0.0306390000   -0.0314940000    1.0025630000    0.1600000000    0.0150000000    0.0610000000      29.9         -1.7495902650   -1.7992685501   60.2090987543 
   3.6     0.0400500000    6.6660000000  -10.5860000000   37.5860000000    0.0296630000   -0.0319820000    1.0029290000    0.1750000000    0.0830000000    0.0910000000      29.7         -1.6932471591   -1.8264631651   59.4263234228 
   3.6     0.0400490000    6.6000000000  -10.5730000000   37.6400000000    0.0306390000   -0.0310050000    1.0029290000    0.2210000000    0.0380000000    0.0830000000      30.1         -1.7489793382   -1.7707036556   59.9598575430 
   3.6     0.0400500000    6.5460000000  -10.5860000000   37.8000000000    0.0299070000   -0.0317380000    1.0026850000    0.1450000000    0.0760000000    0.1060000000      29.9         -1.7075951023   -1.8129786565   60.0505838412 
